page,action,method,input_name,input_type,input_value,link_count
http://localhost:8080/index.php,,,,,,21
http://localhost:8080/vulnerabilities/weak_id/,http://localhost:8080/vulnerabilities/weak_id/,POST,,submit,Generate,21
http://localhost:8080/vulnerabilities/sqli/,http://localhost:8080/vulnerabilities/sqli/,GET,id,text,,21
http://localhost:8080/vulnerabilities/sqli/,http://localhost:8080/vulnerabilities/sqli/,GET,Submit,submit,Submit,21
http://localhost:8080/vulnerabilities/javascript/,http://localhost:8080/vulnerabilities/javascript/,POST,token,hidden,,21
http://localhost:8080/vulnerabilities/javascript/,http://localhost:8080/vulnerabilities/javascript/,POST,phrase,text,ChangeMe,21
http://localhost:8080/vulnerabilities/javascript/,http://localhost:8080/vulnerabilities/javascript/,POST,send,submit,Submit,21
http://localhost:8080/security.php,http://localhost:8080/security.php,POST,security,select,,24
http://localhost:8080/security.php,http://localhost:8080/security.php,POST,seclev_submit,submit,Submit,24
http://localhost:8080/security.php,http://localhost:8080/security.php,POST,user_token,hidden,26e6779a25ddfdcfe0099125862bf5ce,24
http://localhost:8080/vulnerabilities/exec/,http://localhost:8080/vulnerabilities/exec/,POST,ip,text,,21
http://localhost:8080/vulnerabilities/exec/,http://localhost:8080/vulnerabilities/exec/,POST,Submit,submit,Submit,21
http://localhost:8080/vulnerabilities/csp/,http://localhost:8080/vulnerabilities/csp/,POST,include,text,,21
http://localhost:8080/vulnerabilities/csp/,http://localhost:8080/vulnerabilities/csp/,POST,,submit,Include,21
http://localhost:8080/vulnerabilities/brute/,http://localhost:8080/vulnerabilities/brute/,GET,username,text,,21
http://localhost:8080/vulnerabilities/brute/,http://localhost:8080/vulnerabilities/brute/,GET,password,password,,21
http://localhost:8080/vulnerabilities/brute/,http://localhost:8080/vulnerabilities/brute/,GET,Login,submit,Login,21
http://localhost:8080/vulnerabilities/upload/,http://localhost:8080/vulnerabilities/upload/,POST,MAX_FILE_SIZE,hidden,100000,21
http://localhost:8080/vulnerabilities/upload/,http://localhost:8080/vulnerabilities/upload/,POST,uploaded,file,,21
http://localhost:8080/vulnerabilities/upload/,http://localhost:8080/vulnerabilities/upload/,POST,Upload,submit,Upload,21
http://localhost:8080/,,,,,,21
http://localhost:8080/setup.php,http://localhost:8080/setup.php,POST,create_db,submit,Create / Reset Database,21
http://localhost:8080/setup.php,http://localhost:8080/setup.php,POST,user_token,hidden,04c7577c199d734fccf3171d8f0f7f37,21
http://localhost:8080/vulnerabilities/xss_d/,http://localhost:8080/vulnerabilities/xss_d/,GET,default,select,,21
http://localhost:8080/vulnerabilities/xss_d/,http://localhost:8080/vulnerabilities/xss_d/,GET,,submit,Select,21
http://localhost:8080/instructions.php,,,,,,26
http://localhost:8080/vulnerabilities/xss_r/,http://localhost:8080/vulnerabilities/xss_r/,GET,name,text,,21
http://localhost:8080/vulnerabilities/xss_r/,http://localhost:8080/vulnerabilities/xss_r/,GET,,submit,Submit,21
http://localhost:8080/vulnerabilities/captcha/,http://localhost:8080/vulnerabilities/captcha/,POST,step,hidden,1,21
http://localhost:8080/vulnerabilities/captcha/,http://localhost:8080/vulnerabilities/captcha/,POST,password_new,password,,21
http://localhost:8080/vulnerabilities/captcha/,http://localhost:8080/vulnerabilities/captcha/,POST,password_conf,password,,21
http://localhost:8080/vulnerabilities/captcha/,http://localhost:8080/vulnerabilities/captcha/,POST,Change,submit,Change,21
